brand,category,gender,image_url,original_price,price,sku,title,url,variants
Nike,Apparel,Kids,https://asset.snipes.com/images/02490760_1/nike-sportswear-tech-fleece-pants-blu-48772,69.99,40.0,HV5869-057,Sportswear Tech Fleece Pants,https://www.snipes.com/it-it/p/nike-sportswear-tech-fleece-pants-blu-48772,"{'137': {'availability': True, 'price': 40.0}, '147': {'availability': False, 'price': 40.0}, '158': {'availability': False, 'price': 40.0}, '170': {'availability': False, 'price': 40.0}}"
adidas Originals,Apparel,Kids,https://asset.snipes.com/images/02516370_1/adidas-originals-track-pant-grigio-84539,39.99,25.0,KC5055,Track Pant,https://www.snipes.com/it-it/p/adidas-originals-track-pant-grigio-84539,"{'140': {'availability': False, 'price': 25.0}, '146': {'availability': False, 'price': 25.0}, '152': {'availability': False, 'price': 25.0}, '158': {'availability': False, 'price': 25.0}, '164': {'availability': True, 'price': 25.0}, '170': {'availability': False, 'price': 25.0}, '176': {'availability': False, 'price': 25.0}}"
Karl Kani,Apparel,Kids,https://asset.snipes.com/images/02511789_1/karl-kani-small-signature-essential-hoodie-junior-blu-61415,44.99,20.0,KC-HD011-092-09,Small Signature Essential Hoodie Junior,https://www.snipes.com/it-it/p/karl-kani-small-signature-essential-hoodie-junior-blu-61415,"{'110/116': {'availability': True, 'price': 20.0}, '122/128': {'availability': False, 'price': 20.0}, '134/140': {'availability': False, 'price': 20.0}, '146/152': {'availability': False, 'price': 20.0}, '158/164': {'availability': False, 'price': 20.0}}"
Saucony,Footwear,Men,https://asset.snipes.com/images/02566197_1/saucony-progrid-omni-9-bianco-96092,159.99,159.99,S70832-6,Progrid Omni 9,https://www.snipes.com/it-it/p/saucony-progrid-omni-9-bianco-96092,"{'41': {'availability': True, 'price': 159.99}, '42': {'availability': True, 'price': 159.99}, '42.5': {'availability': True, 'price': 159.99}, '43': {'availability': True, 'price': 159.99}, '44': {'availability': True, 'price': 159.99}, '44.5': {'availability': True, 'price': 159.99}, '45': {'availability': False, 'price': 159.99}, '46': {'availability': True, 'price': 159.99}}"
Saucony,Footwear,Men,https://asset.snipes.com/images/02566390_1/saucony-guide-7-bianco-96101,139.99,139.99,S70936-33,Guide 7,https://www.snipes.com/it-it/p/saucony-guide-7-bianco-96101,"{'41': {'availability': True, 'price': 139.99}, '42': {'availability': True, 'price': 139.99}, '42.5': {'availability': True, 'price': 139.99}, '43': {'availability': True, 'price': 139.99}, '44': {'availability': True, 'price': 139.99}, '44.5': {'availability': True, 'price': 139.99}, '45': {'availability': True, 'price': 139.99}, '46': {'availability': True, 'price': 139.99}}"
New Balance,Footwear,Men,https://asset.snipes.com/images/02412762_1/new-balance-740-nero-44908,119.99,119.99,U740BO2,740,https://www.snipes.com/it-it/p/new-balance-740-nero-44908,"{'41.5': {'availability': False, 'price': 119.99}, '42': {'availability': True, 'price': 119.99}, '42.5': {'availability': False, 'price': 119.99}, '43': {'availability': True, 'price': 119.99}, '44': {'availability': True, 'price': 119.99}, '44.5': {'availability': True, 'price': 119.99}, '45': {'availability': True, 'price': 119.99}, '46.5': {'availability': False, 'price': 119.99}, '47.5': {'availability': False, 'price': 119.99}}"
Nike,Footwear,Men,https://asset.snipes.com/images/02525234_1/nike-sb-vertebrae-beige-92155,84.99,60.0,FD4691-008,SB Vertebrae,https://www.snipes.com/it-it/p/nike-sb-vertebrae-beige-92155,"{'40': {'availability': True, 'price': 60.0}, '40.5': {'availability': True, 'price': 60.0}, '41': {'availability': False, 'price': 60.0}, '42': {'availability': False, 'price': 60.0}, '42.5': {'availability': False, 'price': 60.0}, '43': {'availability': False, 'price': 60.0}, '44': {'availability': False, 'price': 60.0}, '44.5': {'availability': False, 'price': 60.0}, '45': {'availability': True, 'price': 60.0}, '46': {'availability': False, 'price': 60.0}}"
Jordan,Footwear,Men,https://asset.snipes.com/images/02524589_1/jordan-jordan-spizike-low-verde-91886,169.99,120.0,IH1782-200,Jordan Spizike Low,https://www.snipes.com/it-it/p/jordan-jordan-spizike-low-verde-91886,"{'40': {'availability': False, 'price': 120.0}, '40.5': {'availability': False, 'price': 120.0}, '41': {'availability': False, 'price': 120.0}, '42': {'availability': True, 'price': 120.0}, '42.5': {'availability': False, 'price': 120.0}, '43': {'availability': True, 'price': 120.0}, '44': {'availability': True, 'price': 120.0}, '44.5': {'availability': False, 'price': 120.0}, '45': {'availability': False, 'price': 120.0}, '46': {'availability': False, 'price': 120.0}}"
adidas Originals,Footwear,Men,https://asset.snipes.com/images/02561105_1/adidas-originals-handball-spezial-beige-95606,109.99,109.99,IH9762,Handball Spezial,https://www.snipes.com/it-it/p/adidas-originals-handball-spezial-beige-95606,"{'40': {'availability': False, 'price': 109.99}, '40.666': {'availability': False, 'price': 109.99}, '41.333': {'availability': False, 'price': 109.99}, '42': {'availability': True, 'price': 109.99}, '42.666': {'availability': False, 'price': 109.99}, '43.333': {'availability': True, 'price': 109.99}, '44': {'availability': False, 'price': 109.99}, '44.666': {'availability': False, 'price': 109.99}, '45.333': {'availability': True, 'price': 109.99}, '46': {'availability': True, 'price': 109.99}}"
Vans,Footwear,Men,https://asset.snipes.com/images/02560724_1/vans-authentic-beige-95567,74.99,74.99,VN000EE3WHT,Authentic,https://www.snipes.com/it-it/p/vans-authentic-beige-95567,"{'40': {'availability': False, 'price': 74.99}, '40.5': {'availability': False, 'price': 74.99}, '41': {'availability': True, 'price': 74.99}, '42': {'availability': True, 'price': 74.99}, '42.5': {'availability': True, 'price': 74.99}, '43': {'availability': True, 'price': 74.99}, '44': {'availability': True, 'price': 74.99}, '44.5': {'availability': True, 'price': 74.99}, '45': {'availability': True, 'price': 74.99}, '46': {'availability': True, 'price': 74.99}}"
Karl Kani,Footwear,Men,https://asset.snipes.com/images/02571681_1/karl-kani-89-lxry-prm26-beige-96307,119.99,119.99,KKFWM000474,89 LXRY PRM`26,https://www.snipes.com/it-it/p/karl-kani-89-lxry-prm26-beige-96307,"{'40': {'availability': False, 'price': 119.99}, '41': {'availability': True, 'price': 119.99}, '42': {'availability': True, 'price': 119.99}, '42.5': {'availability': True, 'price': 119.99}, '43': {'availability': True, 'price': 119.99}, '44': {'availability': True, 'price': 119.99}, '44.5': {'availability': True, 'price': 119.99}, '45': {'availability': True, 'price': 119.99}, '46': {'availability': True, 'price': 119.99}}"
Karl Kani,Footwear,Men,https://asset.snipes.com/images/02571589_1/karl-kani-89-lxry-prm26-bianco-96302,119.99,119.99,KKFWM000473,89 LXRY PRM`26,https://www.snipes.com/it-it/p/karl-kani-89-lxry-prm26-bianco-96302,"{'40': {'availability': False, 'price': 119.99}, '41': {'availability': True, 'price': 119.99}, '42': {'availability': True, 'price': 119.99}, '42.5': {'availability': True, 'price': 119.99}, '43': {'availability': True, 'price': 119.99}, '44': {'availability': True, 'price': 119.99}, '44.5': {'availability': True, 'price': 119.99}, '45': {'availability': True, 'price': 119.99}, '46': {'availability': True, 'price': 119.99}}"
